accelZ,Date
-0.12,22-08-2023 14:11:08.616
-0.02,22-08-2023 14:11:08.734
0.03,22-08-2023 14:11:08.916
-0.11,22-08-2023 14:11:09.103
-0.08,22-08-2023 14:11:09.289
-0.1,22-08-2023 14:11:09.478
-0.16,22-08-2023 14:11:09.658
-0.07,22-08-2023 14:11:09.832
-0.13,22-08-2023 14:11:10.018
-0.12,22-08-2023 14:11:10.202
-0.16,22-08-2023 14:11:10.387
-0.19,22-08-2023 14:11:10.588
0.12,22-08-2023 14:11:10.757
-0.02,22-08-2023 14:11:33.692
-0.09,22-08-2023 14:11:33.803
0,22-08-2023 14:11:34.001
-0.06,22-08-2023 14:11:34.171
-0.09,22-08-2023 14:11:34.373
-0.08,22-08-2023 14:11:34.537
-0.06,22-08-2023 14:11:34.719
0.22,22-08-2023 14:11:34.903
-0.26,22-08-2023 14:11:35.092
-0.2,22-08-2023 14:11:35.271
0.03,22-08-2023 14:11:35.459
-0.07,22-08-2023 14:11:35.645
0.01,22-08-2023 14:11:35.824
-0.09,22-08-2023 14:11:36.008
-0.1,22-08-2023 14:11:36.199
0.24,22-08-2023 14:11:36.374
-2.03,22-08-2023 14:11:36.558
-1.27,22-08-2023 14:11:36.742
1.2,22-08-2023 14:11:36.917
-1.23,22-08-2023 14:11:37.106
-1.85,22-08-2023 14:11:37.289
-10.95,22-08-2023 14:11:37.473
-0.71,22-08-2023 14:11:37.655
-0.11,22-08-2023 14:11:37.841
0.1,22-08-2023 14:11:38.017
0.02,22-08-2023 14:11:38.208
0,22-08-2023 14:11:38.391
-0.08,22-08-2023 14:11:38.574
-0.03,22-08-2023 14:11:38.757
-0.11,22-08-2023 14:11:38.940
-0.03,22-08-2023 14:12:47.422
-0.02,22-08-2023 14:12:47.546
-0.01,22-08-2023 14:12:47.724
-0.03,22-08-2023 14:12:47.911
-0.03,22-08-2023 14:12:48.091
-0.02,22-08-2023 14:12:48.275
-0.03,22-08-2023 14:12:48.463
-0.03,22-08-2023 14:12:48.641
-0.02,22-08-2023 14:12:48.827
0.01,22-08-2023 14:12:49.012
-0.02,22-08-2023 14:12:49.195
-0.02,22-08-2023 14:12:49.379
-0.01,22-08-2023 14:12:49.562
-0.1,22-08-2023 14:12:49.746
0,22-08-2023 14:12:49.929
-0.05,22-08-2023 14:12:50.111
-0.02,22-08-2023 14:12:50.296
-0.02,22-08-2023 14:12:50.476
-0.03,22-08-2023 14:12:50.660
-0.01,22-08-2023 14:12:50.840
-0.01,22-08-2023 14:12:51.024
-0.01,22-08-2023 14:12:51.210
-0.02,22-08-2023 14:12:51.395
-0.02,22-08-2023 14:12:51.577
-0.01,22-08-2023 14:13:39.956
-0.03,22-08-2023 14:13:40.035
0.02,22-08-2023 14:13:40.216
-0.05,22-08-2023 14:13:40.397
-1.19,22-08-2023 14:13:40.586
-1.84,22-08-2023 14:13:40.766
-0.05,22-08-2023 14:13:40.946
3.11,22-08-2023 14:13:41.129
-2.03,22-08-2023 14:13:41.320
0.47,22-08-2023 14:13:41.500
0.08,22-08-2023 14:13:41.685
0.37,22-08-2023 14:13:41.865
0.18,22-08-2023 14:13:42.048
-0.71,22-08-2023 14:13:42.231
0.11,22-08-2023 14:13:42.414
0.06,22-08-2023 14:13:42.598
-0.13,22-08-2023 14:13:42.787
0.02,22-08-2023 14:13:42.962
0.21,22-08-2023 14:13:43.155
0.07,22-08-2023 14:13:43.332
-0.03,22-08-2023 14:13:43.515
-0.18,22-08-2023 14:13:43.698
-0.17,22-08-2023 14:13:43.880
-0.03,22-08-2023 14:13:44.061
-0.15,22-08-2023 14:13:44.246
-0.13,22-08-2023 14:13:44.430
-0.28,22-08-2023 14:13:44.615
0.69,22-08-2023 14:13:44.798
0.04,22-08-2023 14:13:44.978
1.83,22-08-2023 14:13:45.166
3.51,22-08-2023 14:13:45.353
-3.24,22-08-2023 14:13:45.534
3.66,22-08-2023 14:13:45.716
0.89,22-08-2023 14:13:45.904
-0.1,22-08-2023 14:13:46.083
0,22-08-2023 14:13:46.264
-0.04,22-08-2023 14:13:46.451
-0.03,22-08-2023 14:13:46.634
-0.08,22-08-2023 14:13:46.816
-0.12,22-08-2023 14:13:46.998
0.32,22-08-2023 14:13:47.178
-0.01,22-08-2023 14:13:47.364
-0.01,22-08-2023 14:13:47.556
-0.08,22-08-2023 14:13:47.738
-0.03,22-08-2023 14:13:51.729
-0.02,22-08-2023 14:13:51.853
-0.03,22-08-2023 14:13:52.043
-0.02,22-08-2023 14:13:52.222
0,22-08-2023 14:13:52.406
-0.02,22-08-2023 14:13:52.589
-0.02,22-08-2023 14:13:52.769
0.01,22-08-2023 14:13:52.957
-0.03,22-08-2023 14:13:53.140
-0.04,22-08-2023 14:13:53.352
-0.04,22-08-2023 14:13:53.498
-0.03,22-08-2023 14:13:53.683
0.02,22-08-2023 14:13:53.869
-0.02,22-08-2023 14:13:54.055
0.04,22-08-2023 14:13:54.238
-0.02,22-08-2023 14:13:54.418
0,22-08-2023 14:13:54.603
-0.09,22-08-2023 14:13:54.789
-0.05,22-08-2023 14:13:54.971
-0.19,22-08-2023 14:13:55.153
-0.03,22-08-2023 14:13:55.339
-0.08,22-08-2023 14:13:55.520
-0.1,22-08-2023 14:13:55.702
-0.03,22-08-2023 14:13:55.889
-0.02,22-08-2023 14:13:56.068
0.01,22-08-2023 14:13:56.255
0.04,22-08-2023 14:13:56.435
-0.17,22-08-2023 14:13:56.622
-0.11,22-08-2023 14:13:56.804
-0.09,22-08-2023 14:13:56.986
-0.17,22-08-2023 14:13:57.307
0.3,22-08-2023 14:13:57.509
0.56,22-08-2023 14:13:57.690
0.24,22-08-2023 14:13:57.874
-0.53,22-08-2023 14:13:58.058
-0.03,22-08-2023 14:13:58.241
0.01,22-08-2023 14:13:58.428
-0.04,22-08-2023 14:13:58.609
-0.02,22-08-2023 14:13:58.785
-0.03,22-08-2023 14:13:58.967
-0.03,22-08-2023 14:13:59.154
-0.03,22-08-2023 14:13:59.339
-0.01,22-08-2023 14:13:59.523
-0.01,22-08-2023 14:13:59.699
0.13,22-08-2023 14:13:59.887
-0.04,22-08-2023 14:14:00.069
0.15,22-08-2023 14:14:00.250
-0.13,22-08-2023 14:14:00.440
-0.57,22-08-2023 14:14:00.623
0.13,22-08-2023 14:14:00.804
-0.18,22-08-2023 14:14:00.984
-0.07,22-08-2023 14:14:01.170
-0.03,22-08-2023 14:14:01.355
1.22,22-08-2023 14:14:01.534
-0.01,22-08-2023 14:14:01.721
0.06,22-08-2023 14:14:01.923
-0.01,22-08-2023 14:14:02.087
-0.05,22-08-2023 14:14:02.266
-0.03,22-08-2023 14:14:02.463
-0.02,22-08-2023 14:14:02.646
-0.01,22-08-2023 14:14:02.818
-0.02,22-08-2023 14:14:02.999
-0.03,22-08-2023 14:14:03.183
-0.02,22-08-2023 14:14:03.371
-0.04,22-08-2023 14:14:03.554
-0.02,22-08-2023 14:14:03.754
-0.02,22-08-2023 14:14:03.918
-0.02,22-08-2023 14:14:04.104
-0.02,22-08-2023 14:14:04.282
