x,y,z,Date
1.17,1.49,359.58,23-08-2023 13:52:33.824
1.06,1.95,359.12,23-08-2023 13:52:33.824
0.93,3.40,358.63,23-08-2023 13:52:33.824
1.00,4.18,358.17,23-08-2023 13:52:33.824
1.23,2.82,357.74,23-08-2023 13:52:33.824
1.34,0.41,357.25,23-08-2023 13:52:33.825
1.38,0.18,356.70,23-08-2023 13:52:33.825
1.25,2.01,356.16,23-08-2023 13:52:33.899
1.01,3.36,355.62,23-08-2023 13:52:33.899
0.73,3.32,355.19,23-08-2023 13:52:33.899
0.78,2.90,354.85,23-08-2023 13:52:33.899
1.29,2.00,354.42,23-08-2023 13:52:33.900
1.58,0.85,353.84,23-08-2023 13:52:33.900
1.26,1.41,353.24,23-08-2023 13:52:33.900
0.89,3.49,352.77,23-08-2023 13:52:33.935
0.87,3.65,352.32,23-08-2023 13:52:34.130
0.95,1.97,351.87,23-08-2023 13:52:34.325
1.07,1.51,351.41,23-08-2023 13:52:34.514
1.29,2.22,350.95,23-08-2023 13:52:34.685
1.48,2.16,350.39,23-08-2023 13:52:34.865
1.03,1.57,349.88,23-08-2023 13:52:35.049
0.44,2.91,349.57,23-08-2023 13:52:35.236
0.72,4.05,349.30,23-08-2023 13:52:35.414
1.42,2.00,348.99,23-08-2023 13:52:35.602
1.44,0.50,348.68,23-08-2023 13:52:35.778
1.24,1.46,348.30,23-08-2023 13:52:35.957
1.19,2.52,347.88,23-08-2023 13:52:36.135
0.99,2.54,347.50,23-08-2023 13:52:36.323
0.76,2.46,347.25,23-08-2023 13:52:36.512
0.95,2.72,347.03,23-08-2023 13:52:37.295
1.30,2.53,346.74,23-08-2023 13:52:37.295
1.25,2.22,346.43,23-08-2023 13:52:37.296
0.94,2.28,346.15,23-08-2023 13:52:37.296
0.95,1.88,345.86,23-08-2023 13:52:37.440
1.18,1.29,345.51,23-08-2023 13:52:37.609
1.07,2.26,345.21,23-08-2023 13:52:37.802
0.84,3.12,344.95,23-08-2023 13:52:37.985
0.99,2.05,344.66,23-08-2023 13:52:38.165
1.40,1.39,344.35,23-08-2023 13:52:38.346
1.39,2.25,344.05,23-08-2023 13:52:38.529
1.23,2.89,343.83,23-08-2023 13:52:39.035
1.24,2.18,343.59,23-08-2023 13:52:39.035
0.98,2.12,343.42,23-08-2023 13:52:39.068
0.58,3.56,343.31,23-08-2023 13:52:39.263
0.73,3.94,343.28,23-08-2023 13:52:39.450
1.08,1.99,343.12,23-08-2023 13:52:39.633
1.19,0.41,342.89,23-08-2023 13:52:39.821
1.21,1.05,342.67,23-08-2023 13:52:40.011
1.11,2.38,342.42,23-08-2023 13:52:40.175
0.88,2.90,342.19,23-08-2023 13:52:40.366
0.62,3.00,342.07,23-08-2023 13:52:40.555
0.77,2.74,342.02,23-08-2023 13:52:40.729
1.47,1.53,341.89,23-08-2023 13:52:40.924
1.73,1.10,341.66,23-08-2023 13:52:41.095
1.09,2.70,341.46,23-08-2023 13:52:41.291
0.71,4.03,341.32,23-08-2023 13:52:41.455
0.89,3.48,341.26,23-08-2023 13:52:41.647
0.96,2.40,341.29,23-08-2023 13:52:41.846
1.05,1.82,341.26,23-08-2023 13:52:42.313
1.42,1.17,341.03,23-08-2023 13:52:42.313
1.51,1.16,340.75,23-08-2023 13:52:42.718
1.05,1.60,340.55,23-08-2023 13:52:42.719
0.69,2.12,340.43,23-08-2023 13:52:42.802
0.81,3.14,340.29,23-08-2023 13:52:42.927
1.07,3.60,340.17,23-08-2023 13:52:43.121
1.13,2.61,340.09,23-08-2023 13:52:43.308
1.07,1.40,339.93,23-08-2023 13:52:43.483
1.11,1.86,339.70,23-08-2023 13:52:43.664
1.24,2.88,339.43,23-08-2023 13:52:43.845
1.21,2.51,339.16,23-08-2023 13:52:44.050
0.89,1.47,338.99,23-08-2023 13:52:44.248
0.87,1.92,338.83,23-08-2023 13:52:44.708
1.31,2.70,338.55,23-08-2023 13:52:44.708
1.34,2.30,338.25,23-08-2023 13:52:44.752
0.89,1.58,338.00,23-08-2023 13:52:44.933
0.66,1.98,337.72,23-08-2023 13:52:45.128
0.84,2.97,337.39,23-08-2023 13:52:45.333
0.98,2.94,337.18,23-08-2023 13:52:45.486
1.05,2.23,336.95,23-08-2023 13:52:45.679
1.23,1.64,336.64,23-08-2023 13:52:45.858
1.46,1.57,336.26,23-08-2023 13:52:46.050
