x,y,z,Date
0.93,2.00,0.10,23-08-2023 13:47:23.020
0.82,2.36,0.25,23-08-2023 13:47:23.135
1.08,2.63,0.33,23-08-2023 13:47:23.520
1.35,2.81,0.43,23-08-2023 13:47:23.520
1.54,2.65,0.57,23-08-2023 13:47:23.613
1.80,2.23,0.63,23-08-2023 13:47:23.805
1.67,1.65,0.72,23-08-2023 13:47:23.990
1.12,1.76,0.87,23-08-2023 13:47:24.164
0.83,1.80,0.91,23-08-2023 13:47:24.361
0.85,1.74,0.98,23-08-2023 13:47:24.533
0.88,2.19,1.13,23-08-2023 13:47:24.726
0.99,2.14,1.22,23-08-2023 13:47:24.899
1.10,1.67,1.32,23-08-2023 13:47:25.082
1.17,2.29,1.45,23-08-2023 13:47:25.267
1.26,2.89,1.53,23-08-2023 13:47:25.449
1.43,2.09,1.54,23-08-2023 13:47:25.634
1.48,1.94,1.52,23-08-2023 13:47:25.809
1.30,3.10,1.53,23-08-2023 13:47:25.996
1.02,2.59,1.60,23-08-2023 13:47:26.182
0.94,1.10,1.64,23-08-2023 13:47:26.367
1.12,1.26,1.58,23-08-2023 13:47:26.547
1.13,2.26,1.52,23-08-2023 13:47:26.738
0.93,2.31,1.50,23-08-2023 13:47:27.000
0.97,2.01,1.44,23-08-2023 13:47:27.102
1.05,2.47,1.42,23-08-2023 13:47:27.278
1.02,3.10,1.43,23-08-2023 13:47:27.465
1.15,2.86,1.43,23-08-2023 13:47:27.759
1.37,2.36,1.42,23-08-2023 13:47:27.830
1.40,1.67,1.36,23-08-2023 13:47:28.012
1.31,1.03,1.28,23-08-2023 13:47:28.193
1.12,1.49,1.20,23-08-2023 13:47:28.393
1.07,2.73,1.06,23-08-2023 13:47:28.566
1.13,2.52,0.94,23-08-2023 13:47:28.751
1.07,1.82,0.86,23-08-2023 13:47:28.929
0.87,2.21,0.84,23-08-2023 13:47:29.105
0.83,2.27,0.83,23-08-2023 13:47:29.298
0.98,1.84,0.76,23-08-2023 13:47:29.489
1.08,2.70,0.66,23-08-2023 13:47:29.667
1.21,3.49,0.55,23-08-2023 13:47:29.870
1.36,2.82,0.39,23-08-2023 13:47:30.029
1.13,1.93,0.33,23-08-2023 13:47:30.214
0.88,1.53,0.33,23-08-2023 13:47:30.476
1.10,0.89,0.15,23-08-2023 13:47:30.578
1.23,1.15,359.92,23-08-2023 13:47:30.769
1.10,2.45,359.81,23-08-2023 13:47:30.952
1.14,2.97,359.67,23-08-2023 13:47:31.510
1.02,2.59,359.55,23-08-2023 13:47:31.510
0.77,2.44,359.54,23-08-2023 13:47:31.576
1.05,2.33,359.47,23-08-2023 13:47:31.695
1.52,2.32,359.30,23-08-2023 13:47:31.894
1.52,2.44,359.14,23-08-2023 13:47:32.091
1.19,2.08,359.02,23-08-2023 13:47:32.867
1.07,1.40,358.94,23-08-2023 13:47:32.867
0.93,1.35,358.80,23-08-2023 13:47:32.868
0.75,1.75,358.72,23-08-2023 13:47:32.868
0.86,2.07,358.62,23-08-2023 13:47:32.955
1.11,2.63,358.47,23-08-2023 13:47:33.158
1.06,2.86,358.31,23-08-2023 13:47:33.319
0.91,2.80,358.20,23-08-2023 13:47:33.763
1.02,2.95,358.05,23-08-2023 13:47:33.763
1.31,2.39,357.89,23-08-2023 13:47:33.904
1.40,1.87,357.70,23-08-2023 13:47:34.073
1.35,2.08,357.49,23-08-2023 13:47:34.249
1.23,1.86,357.30,23-08-2023 13:47:34.440
1.14,1.10,357.14,23-08-2023 13:47:34.616
1.20,1.37,356.91,23-08-2023 13:47:34.795
1.19,2.21,356.70,23-08-2023 13:47:34.981
1.02,2.22,356.57,23-08-2023 13:47:35.394
0.92,2.11,356.44,23-08-2023 13:47:35.395
0.91,2.80,356.29,23-08-2023 13:47:35.536
0.87,3.51,356.18,23-08-2023 13:47:35.714
1.01,2.63,356.04,23-08-2023 13:47:35.896
1.17,1.82,355.81,23-08-2023 13:47:36.201
1.12,2.49,355.60,23-08-2023 13:47:36.264
1.07,2.63,355.38,23-08-2023 13:47:36.434
1.11,1.90,355.15,23-08-2023 13:47:36.631
1.17,1.66,354.91,23-08-2023 13:47:36.814
1.20,1.74,354.70,23-08-2023 13:47:37.003
1.11,1.64,354.54,23-08-2023 13:47:37.201
1.05,1.75,354.35,23-08-2023 13:47:37.356
1.22,2.18,354.15,23-08-2023 13:47:37.579
1.33,2.70,353.95,23-08-2023 13:47:37.733
1.18,2.80,353.74,23-08-2023 13:47:37.917
1.14,2.84,353.48,23-08-2023 13:47:38.099
1.12,3.28,353.22,23-08-2023 13:47:38.288
0.97,2.75,352.92,23-08-2023 13:47:38.482
0.98,1.04,352.60,23-08-2023 13:47:38.645
1.15,0.89,352.39,23-08-2023 13:47:39.183
1.13,2.31,352.21,23-08-2023 13:47:39.184
0.99,2.33,351.96,23-08-2023 13:47:39.211
0.78,1.59,351.73,23-08-2023 13:47:39.387
0.68,2.69,351.63,23-08-2023 13:47:39.567
0.98,3.62,351.53,23-08-2023 13:47:39.763
1.41,2.32,351.37,23-08-2023 13:47:39.927
1.45,1.50,351.21,23-08-2023 13:47:40.116
