accelZ,Date
0,21-08-2023 23:25:01.157
-0.02,21-08-2023 23:25:01.325
-0.01,21-08-2023 23:25:01.506
-0.01,21-08-2023 23:25:01.691
-0.01,21-08-2023 23:25:01.873
-0.02,21-08-2023 23:25:02.060
-0.03,21-08-2023 23:25:02.238
-0.17,21-08-2023 23:25:02.425
-0.03,21-08-2023 23:25:02.611
-0.08,21-08-2023 23:25:02.795
-0.1,21-08-2023 23:25:02.972
-0.02,21-08-2023 23:25:03.161
-0.02,21-08-2023 23:25:03.342
-0.02,21-08-2023 23:25:03.522
-0.02,21-08-2023 23:25:03.706
0.01,21-08-2023 23:25:03.890
-0.02,21-08-2023 23:25:04.072
0.01,21-08-2023 23:25:04.258
-0.02,21-08-2023 23:25:04.438
-0.02,21-08-2023 23:25:04.643
-0.01,21-08-2023 23:25:04.805
0,21-08-2023 23:25:04.994
-0.01,21-08-2023 23:25:05.174
-0.01,21-08-2023 23:25:05.354
-0.03,21-08-2023 23:25:05.540
-0.04,21-08-2023 23:25:05.724
-0.02,21-08-2023 23:25:05.906
-0.02,21-08-2023 23:25:06.088
-0.03,21-08-2023 23:25:06.274
-0.01,21-08-2023 23:25:06.454
-0.02,21-08-2023 23:25:06.645
-0.02,21-08-2023 23:25:06.824
-0.02,21-08-2023 23:25:07.006
-0.02,21-08-2023 23:25:07.191
-0.01,21-08-2023 23:25:07.375
0,21-08-2023 23:25:07.564
-0.02,21-08-2023 23:25:07.739
-0.02,21-08-2023 23:25:07.926
0.01,21-08-2023 23:25:08.113
-0.02,21-08-2023 23:25:08.294
-0.01,21-08-2023 23:25:08.478
-0.02,21-08-2023 23:25:08.654
-0.01,21-08-2023 23:25:08.838
-0.01,21-08-2023 23:25:09.023
-0.02,21-08-2023 23:25:09.209
-0.03,21-08-2023 23:25:09.387
-0.44,21-08-2023 23:25:09.575
-0.35,21-08-2023 23:25:09.761
0.26,21-08-2023 23:25:09.939
-0.12,21-08-2023 23:25:10.130
-0.46,21-08-2023 23:25:10.308
0,21-08-2023 23:25:10.489
0.02,21-08-2023 23:25:10.677
-0.02,21-08-2023 23:25:10.860
-0.02,21-08-2023 23:25:11.040
-0.03,21-08-2023 23:25:11.224
-0.04,21-08-2023 23:25:11.408
-0.46,21-08-2023 23:25:11.593
-0.25,21-08-2023 23:25:11.775
0.15,21-08-2023 23:25:11.954
0.41,21-08-2023 23:25:12.141
-0.01,21-08-2023 23:25:12.320
-0.2,21-08-2023 23:25:12.511
-3.27,21-08-2023 23:25:12.689
-0.14,21-08-2023 23:25:12.871
-0.02,21-08-2023 23:25:13.058
-0.02,21-08-2023 23:25:13.246
-0.02,21-08-2023 23:25:13.421
-0.02,21-08-2023 23:25:13.606
0.01,21-08-2023 23:25:13.790
-0.05,21-08-2023 23:25:13.974
-0.02,21-08-2023 23:25:14.154
-0.03,21-08-2023 23:25:14.338
-0.02,21-08-2023 23:25:14.524
-0.02,21-08-2023 23:25:14.707
-0.03,21-08-2023 23:25:14.887
-0.01,21-08-2023 23:25:15.072
-0.02,21-08-2023 23:25:15.263
-0.01,21-08-2023 23:25:15.438
-0.02,21-08-2023 23:25:15.623
-0.01,21-08-2023 23:25:15.806
-0.02,21-08-2023 23:25:16.000
-0.04,21-08-2023 23:25:16.178
-0.02,21-08-2023 23:25:16.359
-0.02,21-08-2023 23:25:16.542
-0.72,21-08-2023 23:25:16.720
0.4,21-08-2023 23:25:16.911
0.51,21-08-2023 23:25:17.090
0.16,21-08-2023 23:25:17.277
0.16,21-08-2023 23:25:17.458
0.08,21-08-2023 23:25:17.640
0.95,21-08-2023 23:25:17.822
-3.2,21-08-2023 23:25:18.006
0.12,21-08-2023 23:25:18.189
-1.12,21-08-2023 23:25:18.373
-0.05,21-08-2023 23:25:18.563
-0.03,21-08-2023 23:25:18.740
0.03,21-08-2023 23:25:18.923
-0.03,21-08-2023 23:25:19.110
-0.02,21-08-2023 23:25:19.289
-1.59,21-08-2023 23:25:19.472
-0.7,21-08-2023 23:25:19.657
6.31,21-08-2023 23:25:19.838
-2.52,21-08-2023 23:25:20.023
-0.88,21-08-2023 23:25:20.201
-2.04,21-08-2023 23:25:20.388
0.2,21-08-2023 23:25:20.576
-0.02,21-08-2023 23:25:20.756
-0.01,21-08-2023 23:25:20.938
-0.02,21-08-2023 23:25:21.124
-0.03,21-08-2023 23:25:21.304
-0.02,21-08-2023 23:25:21.490
-0.04,21-08-2023 23:25:21.675
0.02,21-08-2023 23:25:21.860
-0.01,21-08-2023 23:25:22.040
-0.01,21-08-2023 23:25:22.228
-0.01,21-08-2023 23:25:22.405
-0.01,21-08-2023 23:25:22.593
-0.02,21-08-2023 23:25:22.771
-2.29,21-08-2023 23:25:22.958
1.24,21-08-2023 23:25:23.142
1.71,21-08-2023 23:25:23.324
